seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,gravity_z,gravity_y,gravity_x,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,barometer_relativeAltitude,barometer_pressure,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x
2.3,-0.465050459,-0.263690948,0.731516361,1.022536755,9.654851913,1.381535888,-0.133855745,-0.342313349,-0.113620847,0.37688753,0.254320174,0.619020522,0.640383244,-0.933632612,-1.394619584,-1.862840056,-0.132080078,880.9083862,0.552742004,9.346364975,2.115255117,-0.131335929,-0.345444024,-0.129197896,0.547956407,9.322437286,2.049452543
2.4,-0.339992285,-0.342344284,0.743752837,1.027952552,9.651437759,1.409539938,-0.161344662,-0.272369325,-0.126143575,0.367125005,0.24258332,0.624015808,0.646838605,-0.944053829,-1.392043352,-1.83577013,-0.348754883,880.9303589,0.680758059,9.190832138,2.140379906,-0.158824846,-0.275500029,-0.141720623,0.659222662,9.151350021,2.126022816
2.5,-0.452688098,-0.513916969,0.667500138,1.067067385,9.66251564,1.291339517,-0.366900653,-0.301385403,-0.166766092,0.354277462,0.237040758,0.624209404,0.654899061,-0.880207539,-1.399134994,-1.746371031,-0.443847656,880.9437866,0.589830756,8.994620323,1.978864312,-0.364380836,-0.304516107,-0.18234314,0.593420029,9.054440498,2.008774519
2.6,-0.689749539,-0.587138176,1.294054508,1.085203528,9.683174133,1.108536363,-0.459446669,-0.132175863,-0.180510536,0.338887036,0.234328195,0.624531269,0.663690865,-0.796033919,-1.411940932,-1.632581353,-0.488769531,880.9454956,0.373280346,8.961120605,2.407179594,-0.456926852,-0.135306552,-0.196087599,0.331405938,8.878568649,2.353341103
2.7,-1.157118082,0.077849388,1.67651701,1.049654365,9.716423988,0.812230825,-0.641178966,-0.112322763,-0.164628059,0.325413138,0.241189957,0.622893929,0.669046879,-0.658564448,-1.435041308,-1.485033154,-0.591796875,880.9620972,-0.131605253,9.778269768,2.505285263,-0.63865912,-0.115453444,-0.180205107,-0.105284199,9.644271851,2.611765862
2.8,-0.251267314,3.2270298,1.176331997,1.120930552,9.728229523,0.593833745,-0.339411736,0.20685409,-0.181121409,0.323986977,0.255937636,0.616817772,0.672336876,-0.44253391,-1.444063425,-1.289756656,-1.291992188,881.0314331,0.815952539,12.80638695,0.91166544,-0.336891919,0.203723401,-0.196698457,1.093519926,12.40798187,1.075573802
2.9,0.581785917,2.327830315,-1.812347889,1.084291935,9.740356445,0.356456995,0.111101031,0.21204643,0.209526613,0.324410737,0.268106908,0.610303342,0.670851111,-0.309412926,-1.454455137,-1.176666737,-1.696289063,881.0953979,1.660618901,12.01914787,-1.373480201,0.113620847,0.208915755,0.193949565,1.410568953,11.92941761,-1.233500123
3,0.521162391,-0.002950668,-0.770206273,0.65222156,9.758455276,0.663743436,0.6935606,0.637513757,0.543669641,0.334962159,0.271476686,0.626934111,0.648887038,-0.79415381,-1.471615314,-1.681592345,-0.964355469,880.9962769,1.25503552,9.745966911,-0.014356935,0.696080387,0.634383082,0.528092623,1.219143152,9.655039787,-0.065802626
3.1,0.435039669,-0.861728668,-1.703985453,0.324536294,9.685527802,1.50187099,1.221042395,0.823522091,0.464868098,0.382490456,0.274841219,0.63841486,0.608479917,-1.357979894,-1.413465142,-2.329060555,0.771606445,880.8668823,0.309870541,8.419146538,-0.114855483,1.223562121,0.820391417,0.44929105,0.547956407,8.583054543,-0.108873427
3.2,-0.415857553,-2.011543751,-1.674435258,0.006751982,9.434779167,2.944562674,1.477910995,-0.021303909,0.30024004,0.429006159,0.251317441,0.666217089,0.567464352,-1.568272233,-1.265782118,-2.571617603,1.384643555,880.7445679,-0.580259502,7.064808846,1.235892892,1.480430841,-0.024434591,0.284662992,-0.483350188,7.156932354,1.505085468
3.3,-0.535311937,-1.152540207,-0.833176136,-0.278411329,8.871564865,4.169916153,1.385975838,0.273438334,0.296574861,0.463855207,0.204212978,0.687380612,0.520233929,-1.637464046,-1.130552888,-2.648077488,1.416259766,880.7582397,-0.808774054,7.561319351,3.262613773,1.388495684,0.27030766,0.280997813,-0.898504913,7.802994728,3.466003656
